sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_tabled	reads_chimera_checked	reads_tax.length_filtered
e03846-B-mifish	e03846-B-mifish	1	e03846-B-mifish_S173_L001_R1_001.fastq.gz	e03846-B-mifish_S173_L001_R2_001.fastq.gz	5558	5558	5303	5303	5286	5286	4927	4927	4927
e03846-C-mifish	e03846-C-mifish	1	e03846-C-mifish_S269_L001_R1_001.fastq.gz	e03846-C-mifish_S269_L001_R2_001.fastq.gz	9262	9262	8620	8620	8612	8612	8384	8324	8324
e03847-A-mifish	e03847-A-mifish	1	e03847-A-mifish_S78_L001_R1_001.fastq.gz	e03847-A-mifish_S78_L001_R2_001.fastq.gz	26	26	24	24	24	24	22	22	22
e03847-B-mifish	e03847-B-mifish	1	e03847-B-mifish_S174_L001_R1_001.fastq.gz	e03847-B-mifish_S174_L001_R2_001.fastq.gz	1411	1411	1337	1337	15	15	3	3	3
e03847-C-mifish	e03847-C-mifish	1	e03847-C-mifish_S270_L001_R1_001.fastq.gz	e03847-C-mifish_S270_L001_R2_001.fastq.gz	147	147	128	128	2	2	0	0	0
e03848-A-mifish	e03848-A-mifish	1	e03848-A-mifish_S79_L001_R1_001.fastq.gz	e03848-A-mifish_S79_L001_R2_001.fastq.gz	7745	7745	7272	7272	7252	7252	7148	7148	7148
e03848-B-mifish	e03848-B-mifish	1	e03848-B-mifish_S175_L001_R1_001.fastq.gz	e03848-B-mifish_S175_L001_R2_001.fastq.gz	731	731	690	690	652	652	0	0	0
e03848-C-mifish	e03848-C-mifish	1	e03848-C-mifish_S271_L001_R1_001.fastq.gz	e03848-C-mifish_S271_L001_R2_001.fastq.gz	88	88	82	82	79	79	1	1	1
e03849-A-mifish	e03849-A-mifish	1	e03849-A-mifish_S80_L001_R1_001.fastq.gz	e03849-A-mifish_S80_L001_R2_001.fastq.gz	10900	10900	10232	10232	10222	10222	10094	9994	9994
e03849-B-mifish	e03849-B-mifish	1	e03849-B-mifish_S176_L001_R1_001.fastq.gz	e03849-B-mifish_S176_L001_R2_001.fastq.gz	5240	5240	4901	4901	4886	4886	4345	4345	4345
e03849-C-mifish	e03849-C-mifish	1	e03849-C-mifish_S272_L001_R1_001.fastq.gz	e03849-C-mifish_S272_L001_R2_001.fastq.gz	1773	1773	1569	1569	675	675	2	2	2
e03850-A-mifish	e03850-A-mifish	1	e03850-A-mifish_S81_L001_R1_001.fastq.gz	e03850-A-mifish_S81_L001_R2_001.fastq.gz	4778	4778	4569	4569	4550	4550	4127	3883	3883
e03850-B-mifish	e03850-B-mifish	1	e03850-B-mifish_S177_L001_R1_001.fastq.gz	e03850-B-mifish_S177_L001_R2_001.fastq.gz	6954	6954	6641	6641	6634	6634	6501	6490	6490
e03850-C-mifish	e03850-C-mifish	1	e03850-C-mifish_S273_L001_R1_001.fastq.gz	e03850-C-mifish_S273_L001_R2_001.fastq.gz	947	947	875	875	853	853	10	10	10
e03851-A-mifish	e03851-A-mifish	1	e03851-A-mifish_S82_L001_R1_001.fastq.gz	e03851-A-mifish_S82_L001_R2_001.fastq.gz	4878	4878	4631	4631	4627	4627	4586	4586	4586
e03851-B-mifish	e03851-B-mifish	1	e03851-B-mifish_S178_L001_R1_001.fastq.gz	e03851-B-mifish_S178_L001_R2_001.fastq.gz	3175	3175	2997	2997	2276	2276	2223	2208	2208
e03851-C-mifish	e03851-C-mifish	1	e03851-C-mifish_S274_L001_R1_001.fastq.gz	e03851-C-mifish_S274_L001_R2_001.fastq.gz	6604	6604	6106	6106	6095	6095	5919	5900	5900
e03852-A-mifish	e03852-A-mifish	1	e03852-A-mifish_S83_L001_R1_001.fastq.gz	e03852-A-mifish_S83_L001_R2_001.fastq.gz	1	1	1	1	1	1	1	1	1
e03852-B-mifish	e03852-B-mifish	1	e03852-B-mifish_S179_L001_R1_001.fastq.gz	e03852-B-mifish_S179_L001_R2_001.fastq.gz	477	477	446	446	446	446	444	444	444
e03852-C-mifish	e03852-C-mifish	1	e03852-C-mifish_S275_L001_R1_001.fastq.gz	e03852-C-mifish_S275_L001_R2_001.fastq.gz	34	34	31	31	31	31	30	30	30
e03853-A-mifish	e03853-A-mifish	1	e03853-A-mifish_S84_L001_R1_001.fastq.gz	e03853-A-mifish_S84_L001_R2_001.fastq.gz	840	840	802	802	758	758	15	15	15
e03853-B-mifish	e03853-B-mifish	1	e03853-B-mifish_S180_L001_R1_001.fastq.gz	e03853-B-mifish_S180_L001_R2_001.fastq.gz	4450	4450	4255	4255	4248	4248	4033	4033	4033
e03853-C-mifish	e03853-C-mifish	1	e03853-C-mifish_S276_L001_R1_001.fastq.gz	e03853-C-mifish_S276_L001_R2_001.fastq.gz	8576	8576	7916	7916	7915	7915	7761	7761	7761
e03854-A-mifish	e03854-A-mifish	1	e03854-A-mifish_S85_L001_R1_001.fastq.gz	e03854-A-mifish_S85_L001_R2_001.fastq.gz	716	716	675	675	581	581	9	9	9
e03854-B-mifish	e03854-B-mifish	1	e03854-B-mifish_S181_L001_R1_001.fastq.gz	e03854-B-mifish_S181_L001_R2_001.fastq.gz	4640	4640	4417	4417	4401	4401	4079	4079	4079
e03854-C-mifish	e03854-C-mifish	1	e03854-C-mifish_S277_L001_R1_001.fastq.gz	e03854-C-mifish_S277_L001_R2_001.fastq.gz	765	765	690	690	682	682	262	262	262
e03855-A-mifish	e03855-A-mifish	1	e03855-A-mifish_S86_L001_R1_001.fastq.gz	e03855-A-mifish_S86_L001_R2_001.fastq.gz	1676	1676	1573	1573	1570	1570	1396	1396	1396
e03855-B-mifish	e03855-B-mifish	1	e03855-B-mifish_S182_L001_R1_001.fastq.gz	e03855-B-mifish_S182_L001_R2_001.fastq.gz	108	108	88	88	85	85	24	24	24
e03855-C-mifish	e03855-C-mifish	1	e03855-C-mifish_S278_L001_R1_001.fastq.gz	e03855-C-mifish_S278_L001_R2_001.fastq.gz	8906	8906	8194	8194	8185	8185	8045	8041	8041
e03856-A-mifish	e03856-A-mifish	1	e03856-A-mifish_S87_L001_R1_001.fastq.gz	e03856-A-mifish_S87_L001_R2_001.fastq.gz	12561	12561	11794	11794	11784	11784	11611	11521	11521
e03856-B-mifish	e03856-B-mifish	1	e03856-B-mifish_S183_L001_R1_001.fastq.gz	e03856-B-mifish_S183_L001_R2_001.fastq.gz	4709	4709	4421	4421	3497	3497	3407	3407	3382
e03856-C-mifish	e03856-C-mifish	1	e03856-C-mifish_S279_L001_R1_001.fastq.gz	e03856-C-mifish_S279_L001_R2_001.fastq.gz	2535	2535	2219	2219	199	199	162	162	162
e03857-A-mifish	e03857-A-mifish	1	e03857-A-mifish_S88_L001_R1_001.fastq.gz	e03857-A-mifish_S88_L001_R2_001.fastq.gz	7	7	4	4	3	3	2	2	2
e03857-B-mifish	e03857-B-mifish	1	e03857-B-mifish_S184_L001_R1_001.fastq.gz	e03857-B-mifish_S184_L001_R2_001.fastq.gz	119	119	106	106	105	105	103	103	103
e03857-C-mifish	e03857-C-mifish	1	e03857-C-mifish_S280_L001_R1_001.fastq.gz	e03857-C-mifish_S280_L001_R2_001.fastq.gz	172	172	157	157	157	157	148	148	148
