sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_tabled	reads_chimera_checked	reads_tax.length_filtered
e03832-A-rkfish	e03832-A-rkfish	1	e03832-A-rkfish_S351_L001_R1_001.fastq.gz	e03832-A-rkfish_S351_L001_R2_001.fastq.gz	7593	7593	7397	7397	6565	6565	0	0	0
e03832-B-rkfish	e03832-B-rkfish	1	e03832-B-rkfish_S447_L001_R1_001.fastq.gz	e03832-B-rkfish_S447_L001_R2_001.fastq.gz	6777	6777	6519	6519	5892	5892	527	527	527
e03832-C-rkfish	e03832-C-rkfish	1	e03832-C-rkfish_S543_L001_R1_001.fastq.gz	e03832-C-rkfish_S543_L001_R2_001.fastq.gz	5962	5962	5806	5806	5255	5255	1	1	1
e03833-A-rkfish	e03833-A-rkfish	1	e03833-A-rkfish_S352_L001_R1_001.fastq.gz	e03833-A-rkfish_S352_L001_R2_001.fastq.gz	46447	46447	45537	45537	45469	45469	42189	42189	42189
e03833-B-rkfish	e03833-B-rkfish	1	e03833-B-rkfish_S448_L001_R1_001.fastq.gz	e03833-B-rkfish_S448_L001_R2_001.fastq.gz	42026	42026	41029	41029	40979	40979	38810	38810	38810
e03833-C-rkfish	e03833-C-rkfish	1	e03833-C-rkfish_S544_L001_R1_001.fastq.gz	e03833-C-rkfish_S544_L001_R2_001.fastq.gz	2682	2682	2599	2599	2408	2408	167	167	167
e03834-A-rkfish	e03834-A-rkfish	1	e03834-A-rkfish_S353_L001_R1_001.fastq.gz	e03834-A-rkfish_S353_L001_R2_001.fastq.gz	53865	53865	52714	52714	52666	52666	47150	47150	47150
e03834-B-rkfish	e03834-B-rkfish	1	e03834-B-rkfish_S449_L001_R1_001.fastq.gz	e03834-B-rkfish_S449_L001_R2_001.fastq.gz	6557	6557	6381	6381	4567	4567	622	622	622
e03834-C-rkfish	e03834-C-rkfish	1	e03834-C-rkfish_S545_L001_R1_001.fastq.gz	e03834-C-rkfish_S545_L001_R2_001.fastq.gz	72997	72997	71243	71243	71141	71141	67217	67217	67217
e03835-A-rkfish	e03835-A-rkfish	1	e03835-A-rkfish_S354_L001_R1_001.fastq.gz	e03835-A-rkfish_S354_L001_R2_001.fastq.gz	7656	7656	7445	7445	7075	7075	233	233	233
e03835-B-rkfish	e03835-B-rkfish	1	e03835-B-rkfish_S450_L001_R1_001.fastq.gz	e03835-B-rkfish_S450_L001_R2_001.fastq.gz	7390	7390	7081	7081	5423	5423	305	305	305
e03835-C-rkfish	e03835-C-rkfish	1	e03835-C-rkfish_S546_L001_R1_001.fastq.gz	e03835-C-rkfish_S546_L001_R2_001.fastq.gz	9032	9032	8678	8678	8205	8205	816	816	816
e03836-A-rkfish	e03836-A-rkfish	1	e03836-A-rkfish_S355_L001_R1_001.fastq.gz	e03836-A-rkfish_S355_L001_R2_001.fastq.gz	4806	4806	4571	4571	3814	3814	0	0	0
e03836-B-rkfish	e03836-B-rkfish	1	e03836-B-rkfish_S451_L001_R1_001.fastq.gz	e03836-B-rkfish_S451_L001_R2_001.fastq.gz	4378	4378	4254	4254	3777	3777	227	227	227
e03836-C-rkfish	e03836-C-rkfish	1	e03836-C-rkfish_S547_L001_R1_001.fastq.gz	e03836-C-rkfish_S547_L001_R2_001.fastq.gz	3984	3984	3859	3859	3528	3528	2	2	2
e03837-A-rkfish	e03837-A-rkfish	1	e03837-A-rkfish_S356_L001_R1_001.fastq.gz	e03837-A-rkfish_S356_L001_R2_001.fastq.gz	9642	9642	9393	9393	7732	7732	1359	1358	1358
e03837-B-rkfish	e03837-B-rkfish	1	e03837-B-rkfish_S452_L001_R1_001.fastq.gz	e03837-B-rkfish_S452_L001_R2_001.fastq.gz	60248	60248	58733	58733	58608	58608	51536	51526	51526
e03837-C-rkfish	e03837-C-rkfish	1	e03837-C-rkfish_S548_L001_R1_001.fastq.gz	e03837-C-rkfish_S548_L001_R2_001.fastq.gz	8508	8508	8294	8294	6541	6541	142	142	142
e03838-A-rkfish	e03838-A-rkfish	1	e03838-A-rkfish_S357_L001_R1_001.fastq.gz	e03838-A-rkfish_S357_L001_R2_001.fastq.gz	4864	4864	4492	4492	2476	2476	2024	2024	2024
e03838-B-rkfish	e03838-B-rkfish	1	e03838-B-rkfish_S453_L001_R1_001.fastq.gz	e03838-B-rkfish_S453_L001_R2_001.fastq.gz	3856	3856	3538	3538	1791	1791	190	190	190
e03838-C-rkfish	e03838-C-rkfish	1	e03838-C-rkfish_S549_L001_R1_001.fastq.gz	e03838-C-rkfish_S549_L001_R2_001.fastq.gz	41622	41622	37978	37978	36984	36984	35633	35630	35630
e03839-A-rkfish	e03839-A-rkfish	1	e03839-A-rkfish_S358_L001_R1_001.fastq.gz	e03839-A-rkfish_S358_L001_R2_001.fastq.gz	5529	5529	5396	5396	3744	3744	15	15	15
e03839-B-rkfish	e03839-B-rkfish	1	e03839-B-rkfish_S454_L001_R1_001.fastq.gz	e03839-B-rkfish_S454_L001_R2_001.fastq.gz	47752	47752	46548	46548	46233	46233	37793	37793	37793
e03839-C-rkfish	e03839-C-rkfish	1	e03839-C-rkfish_S550_L001_R1_001.fastq.gz	e03839-C-rkfish_S550_L001_R2_001.fastq.gz	4834	4834	4705	4705	3413	3413	1530	1530	1530
e03840-A-rkfish	e03840-A-rkfish	1	e03840-A-rkfish_S359_L001_R1_001.fastq.gz	e03840-A-rkfish_S359_L001_R2_001.fastq.gz	6359	6359	6102	6102	4965	4965	253	253	253
e03840-B-rkfish	e03840-B-rkfish	1	e03840-B-rkfish_S455_L001_R1_001.fastq.gz	e03840-B-rkfish_S455_L001_R2_001.fastq.gz	7024	7024	6827	6827	5019	5019	1288	1205	1205
e03840-C-rkfish	e03840-C-rkfish	1	e03840-C-rkfish_S551_L001_R1_001.fastq.gz	e03840-C-rkfish_S551_L001_R2_001.fastq.gz	6335	6335	6173	6173	4673	4673	268	268	268
e03841-A-rkfish	e03841-A-rkfish	1	e03841-A-rkfish_S360_L001_R1_001.fastq.gz	e03841-A-rkfish_S360_L001_R2_001.fastq.gz	5064	5064	4958	4958	4569	4569	0	0	0
e03841-B-rkfish	e03841-B-rkfish	1	e03841-B-rkfish_S456_L001_R1_001.fastq.gz	e03841-B-rkfish_S456_L001_R2_001.fastq.gz	5313	5313	5187	5187	4893	4893	484	484	484
e03841-C-rkfish	e03841-C-rkfish	1	e03841-C-rkfish_S552_L001_R1_001.fastq.gz	e03841-C-rkfish_S552_L001_R2_001.fastq.gz	4709	4709	4608	4608	4405	4405	0	0	0
e03842-A-rkfish	e03842-A-rkfish	1	e03842-A-rkfish_S361_L001_R1_001.fastq.gz	e03842-A-rkfish_S361_L001_R2_001.fastq.gz	6331	6331	6101	6101	4844	4844	0	0	0
e03842-B-rkfish	e03842-B-rkfish	1	e03842-B-rkfish_S457_L001_R1_001.fastq.gz	e03842-B-rkfish_S457_L001_R2_001.fastq.gz	6630	6630	6170	6170	3318	3318	386	386	386
e03842-C-rkfish	e03842-C-rkfish	1	e03842-C-rkfish_S553_L001_R1_001.fastq.gz	e03842-C-rkfish_S553_L001_R2_001.fastq.gz	5699	5699	5545	5545	4556	4556	79	79	79
e03843-A-rkfish	e03843-A-rkfish	1	e03843-A-rkfish_S362_L001_R1_001.fastq.gz	e03843-A-rkfish_S362_L001_R2_001.fastq.gz	11172	11172	10764	10764	8711	8711	711	711	711
e03843-B-rkfish	e03843-B-rkfish	1	e03843-B-rkfish_S458_L001_R1_001.fastq.gz	e03843-B-rkfish_S458_L001_R2_001.fastq.gz	7240	7240	7008	7008	5795	5795	103	103	103
e03843-C-rkfish	e03843-C-rkfish	1	e03843-C-rkfish_S554_L001_R1_001.fastq.gz	e03843-C-rkfish_S554_L001_R2_001.fastq.gz	9116	9116	8933	8933	8019	8019	51	51	51
e03844-A-rkfish	e03844-A-rkfish	1	e03844-A-rkfish_S363_L001_R1_001.fastq.gz	e03844-A-rkfish_S363_L001_R2_001.fastq.gz	8267	8267	8037	8037	6765	6765	39	39	39
e03844-B-rkfish	e03844-B-rkfish	1	e03844-B-rkfish_S459_L001_R1_001.fastq.gz	e03844-B-rkfish_S459_L001_R2_001.fastq.gz	5618	5618	5398	5398	4062	4062	48	48	48
e03844-C-rkfish	e03844-C-rkfish	1	e03844-C-rkfish_S555_L001_R1_001.fastq.gz	e03844-C-rkfish_S555_L001_R2_001.fastq.gz	8289	8289	7956	7956	6771	6771	103	103	103
e03845-A-rkfish	e03845-A-rkfish	1	e03845-A-rkfish_S364_L001_R1_001.fastq.gz	e03845-A-rkfish_S364_L001_R2_001.fastq.gz	5168	5168	4923	4923	4442	4442	148	148	148
e03845-B-rkfish	e03845-B-rkfish	1	e03845-B-rkfish_S460_L001_R1_001.fastq.gz	e03845-B-rkfish_S460_L001_R2_001.fastq.gz	5099	5099	4927	4927	4039	4039	487	487	487
e03845-C-rkfish	e03845-C-rkfish	1	e03845-C-rkfish_S556_L001_R1_001.fastq.gz	e03845-C-rkfish_S556_L001_R2_001.fastq.gz	54844	54844	53562	53562	53488	53488	51786	51786	51786
e03846-A-rkfish	e03846-A-rkfish	1	e03846-A-rkfish_S365_L001_R1_001.fastq.gz	e03846-A-rkfish_S365_L001_R2_001.fastq.gz	7337	7337	7144	7144	3451	3451	123	123	123
e03846-B-rkfish	e03846-B-rkfish	1	e03846-B-rkfish_S461_L001_R1_001.fastq.gz	e03846-B-rkfish_S461_L001_R2_001.fastq.gz	4879	4879	4744	4744	2621	2621	346	346	346
e03846-C-rkfish	e03846-C-rkfish	1	e03846-C-rkfish_S557_L001_R1_001.fastq.gz	e03846-C-rkfish_S557_L001_R2_001.fastq.gz	4506	4506	4330	4330	2514	2514	659	659	659
e03847-A-rkfish	e03847-A-rkfish	1	e03847-A-rkfish_S366_L001_R1_001.fastq.gz	e03847-A-rkfish_S366_L001_R2_001.fastq.gz	9735	9735	9461	9461	6253	6253	3414	3414	3414
e03847-B-rkfish	e03847-B-rkfish	1	e03847-B-rkfish_S462_L001_R1_001.fastq.gz	e03847-B-rkfish_S462_L001_R2_001.fastq.gz	3978	3978	3825	3825	2576	2576	198	198	198
